1.8	0.12	1.98	5.6	2.7
0.7	0.1	1.1	60.2	12.7
0.24	0.1	1.27	1	1
1.35	0.1	9.75	30	12.5
0.46	0.1	3.52	64	24
0.7	0.21	1.8	2.3	1.4
1.33	0.4	4.09	16	6.9
1.4	0.1	3.6	19.3	4.1
0.5	0.18	1.09	2.6	1.7
0.28	0.1	1	38.5	7.4
0.5	0.1	3.7	49.8	35
0.57	0.1	2.34	36	13.7
0.6	0.1	2	39.4	14.7
0.6	0.1	1	34	13
0.47	0.1	1.7	7.4	11.9
0.3	0.1	2.4	2.2	1.9
0.4	0.1	1.8	2.9	1.9
0.48	0.1	1	4.6	1.6
0.4	0.1	1	6.9	2.6
0.17	0.1	1	4	1.9
0.15	0.1	1	2.3	1
0.56	0.1	1.7	3.7	1.2
0.5	0.1	4.49	5.5	2
0.36	0.1	1	33	15
0.31	0.1	1	11.8	12.7
0.1	0.1	2.5	48.5	5.1
0.19	0.1	1	3.1	1
0.1	0.1	1	3.6	1.1
0.9	0.3	5.9	5.2	1.7
0.4	0.1	3.2	55.5	18.8
0.75	0.17	2.39	3.5	1.8
0.54	0.52	2.79	8.2	1.9
0.22	0.1	5.7	2.7	1
0.67	0.1	1	39.5	11.4
0.58	0.1	1	33	7
0.15	0.1	1	24	6.1
0.81	0.1	1.59	5.4	2.2
0.1	0.1	5.7	10.3	6
0.25	0.1	4.31	13.5	6.9
0.3	0.1	1	3.5	1.4
0.57	0.17	2.5	3.7	2.2
0.29	0.1	1.24	11.1	3.6
0.8	0.1	1.9	25.5	8.76
0.26	0.1	1	14.5	6.2
0.34	0.1	5.46	2.1	1.2
1.35	0.23	6.87	2.6	1.4
0.3	0.1	1	2.7	1.2
0.1	0.2	9	0.5	0.5
0.34	0.1	1	7.3	2.5
0.3	0.1	4.4	2.1	1.4
0.38	0.1	3.61	3.6	1.5
0.37	0.1	1	39	1.6
4	0.12	1.8	20.2	3.9
0.24	0.1	3.2	1.1	1.5
0.92	0.86	29	1.4	1
1.52	0.24	4.89	8	1.7
0.16	0.1	1	1.9	1.1
0.8	0.6	10.9	1.2	0.5
1.42	0.21	1.99	3.7	1.5
0.67	0.54	2.99	1	1
0.6	0.1	1	5.8	2.3
0.26	0.1	1	18	5.6
0.1	0.1	1	2.8	1
0.4	0.1	1	5	2.3
0.41	0.1	1	6.4	2.8
0.34	0.1	1.48	2.7	1.7
0.27	0.1	1	30	1.6
0.1	0.1	1	1.6	1
0.13	0.1	2	4.6	1
